,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
17W100P100P01784,10YFR-RTE------C,910,BLAYAIS 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01792,10YFR-RTE------C,910,BLAYAIS 3,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0180H,10YFR-RTE------C,910,BLAYAIS 4,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0181F,10YFR-RTE------C,910,BUGEY 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0182D,10YFR-RTE------C,910,BUGEY 3,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0183B,10YFR-RTE------C,880,BUGEY 4,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01849,10YFR-RTE------C,880,BUGEY 5,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01857,10YFR-RTE------C,1310,BELLEVILLE 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01865,10YFR-RTE------C,1310,BELLEVILLE 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01873,10YFR-RTE------C,1300,CATTENOM 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01881,10YFR-RTE------C,1300,CATTENOM 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0190E,10YFR-RTE------C,1300,CATTENOM 4,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0191C,10YFR-RTE------C,905,CHINON 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0192A,10YFR-RTE------C,905,CHINON 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01938,10YFR-RTE------C,905,CHINON 3,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01946,10YFR-RTE------C,905,CHINON 4,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01954,10YFR-RTE------C,1500,CHOOZ 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01962,10YFR-RTE------C,1500,CHOOZ 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P01970,10YFR-RTE------C,1495,CIVAUX 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0198Z,10YFR-RTE------C,1495,CIVAUX 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0199X,10YFR-RTE------C,915,CRUAS 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P02000,10YFR-RTE------C,915,CRUAS 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0201Z,10YFR-RTE------C,915,CRUAS 3,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0202X,10YFR-RTE------C,915,CRUAS 4,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0203V,10YFR-RTE------C,890,DAMPIERRE 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0204T,10YFR-RTE------C,890,DAMPIERRE 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0205R,10YFR-RTE------C,890,DAMPIERRE 3,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0206P,10YFR-RTE------C,890,DAMPIERRE 4,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0209J,10YFR-RTE------C,1330,FLAMANVILLE 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0210Y,10YFR-RTE------C,1330,FLAMANVILLE 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0211W,10YFR-RTE------C,1310,GOLFECH 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0212U,10YFR-RTE------C,1310,GOLFECH 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0213S,10YFR-RTE------C,910,GRAVELINES 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0214Q,10YFR-RTE------C,910,GRAVELINES 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0215O,10YFR-RTE------C,910,GRAVELINES 3,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0216M,10YFR-RTE------C,910,GRAVELINES 4,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0217K,10YFR-RTE------C,910,GRAVELINES 5,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0218I,10YFR-RTE------C,910,GRAVELINES 6,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0219G,10YFR-RTE------C,1310,NOGENT 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0220V,10YFR-RTE------C,1310,NOGENT 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0221T,10YFR-RTE------C,1330,PALUEL 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0222R,10YFR-RTE------C,1330,PALUEL 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0223P,10YFR-RTE------C,1330,PALUEL 3,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0224N,10YFR-RTE------C,1330,PALUEL 4,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0225L,10YFR-RTE------C,1330,PENLY 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0226J,10YFR-RTE------C,1330,PENLY 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0227H,10YFR-RTE------C,1335,ST ALBAN 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0228F,10YFR-RTE------C,1335,ST ALBAN 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0229D,10YFR-RTE------C,915,ST LAURENT 1,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0230S,10YFR-RTE------C,915,ST LAURENT 2,Nuclear,2023-12-31 23:00:00+00:00,400
17W100P100P0231Q,10YFR-RTE------C,915,TRICASTIN 1,Nuclear,2023-12-31 23:00:00+00:00,225
17W100P100P0232O,10YFR-RTE------C,915,TRICASTIN 2,Nuclear,2023-12-31 23:00:00+00:00,225
17W100P100P0233M,10YFR-RTE------C,915,TRICASTIN 3,Nuclear,2023-12-31 23:00:00+00:00,225
17W100P100P0234K,10YFR-RTE------C,915,TRICASTIN 4,Nuclear,2023-12-31 23:00:00+00:00,225
17W100P100P0236G,10YFR-RTE------C,580,CORDEMAIS 4,Fossil Hard coal,2023-12-31 23:00:00+00:00,225
17W100P100P0237E,10YFR-RTE------C,580,CORDEMAIS 5,Fossil Hard coal,2023-12-31 23:00:00+00:00,225
17W100P100P0243J,10YFR-RTE------C,427,BLENOD 5,Fossil Gas,2023-12-31 23:00:00+00:00,400
17W100P100P0244H,10YFR-RTE------C,585,BOUCHAIN 7,Fossil Gas,2023-12-31 23:00:00+00:00,400
