,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
18WEESQUI-1234-E,10YES-REE------0,140.4,EESQUI,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WEFEGED-1234-X,10YES-REE------0,154.9,EFEGED,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WEFGASN-1234-D,10YES-REE------0,207.3,EFGASN,Wind Onshore,2024-12-31 23:00:00+00:00,400
18WEFGNRA-1234-X,10YES-REE------0,273.5,EOLICA,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WEFWMARK-123-K,10YES-REE------0,943.4,EFWMARK,Wind Onshore,2024-12-31 23:00:00+00:00,400
18WEGREEN-1234-3,10YES-REE------0,2154.3,EOLICAGEST,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WEGVENTO-123-C,10YES-REE------0,128,EGVENTO,Wind Onshore,2023-12-31 23:00:00+00:00,220
18WEHIBGES-123-W,10YES-REE------0,5932.8,EHIBGES,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WELBOGA-1234-V,10YES-REE------0,280.4,ELBOGA,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WEMEDI-1234-10,10YES-REE------0,394.5,EMEDI,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WEMOCI-1234-1B,10YES-REE------0,144,EMOCI,Wind Onshore,2023-12-31 23:00:00+00:00,220
18WENDPRB-123-0T,10YES-REE------0,100,ENDPRB,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WEPBUIO-1234-F,10YES-REE------0,161.2,EPBUIO,Wind Onshore,2023-12-31 23:00:00+00:00,220
18WEREGPEM-123-F,10YES-REE------0,1321.5,EREGPEM,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WESC6-12345-07,10YES-REE------0,815.6,ESC IBER 6,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WESCCC1-123-0T,10YES-REE------0,402.6,ESCCC1,Fossil Gas,2023-12-31 23:00:00+00:00,400
