,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
11WD7BERG1S--KWB,10Y1001A1001A82H,717,Bergkamen,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD7BOLA--KWNIK,10Y1001A1001A82H,866,HKW Niehl,Fossil Gas,2023-12-31 23:00:00+00:00,380
11WD7BRAU5G-KW-N,10Y1001A1001A82H,562,GuD Dormagen,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD7ELLE5X--KWV,10Y1001A1001A82H,189.1,Kraftwerk Flingern,Waste,2023-12-31 23:00:00+00:00,110
11WD7EMSL-G-KW-T,10Y1001A1001A82H,1820,Emsland,Fossil Gas,2023-12-31 23:00:00+00:00,380
11WD7FUEH5GMEKW7,10Y1001A1001A82H,185,HKW Merkenich,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD7GARE5X-PSWB,10Y1001A1001A82H,140,PSW-ROENK-KW,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,110
11WD7GARE5XHEKWQ,10Y1001A1001A82H,424,HERDECKE,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD7GERS-X-KW-C,10Y1001A1001A82H,517,Gersteinwerk,Fossil Gas,2023-12-31 23:00:00+00:00,380
11WD7HERN2S--KWU,10Y1001A1001A82H,460,Herne,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
11WD7HUCK2G--KWR,10Y1001A1001A82H,600,Huckingen (HKM),Fossil Coal-derived gas,2023-12-31 23:00:00+00:00,220
11WD7KOEP2P--KWG,10Y1001A1001A82H,162,Koepchenwerk,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
11WD7KWHU----KW9,10Y1001A1001A82H,746,KW Lünen,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD7KWKN----KW1,10Y1001A1001A82H,784,Knapsack 1,Fossil Gas,2023-12-31 23:00:00+00:00,380
11WD7KWKN1GBL203,10Y1001A1001A82H,426,Knapsack 2,Fossil Gas,2023-12-31 23:00:00+00:00,380
11WD7LUDW2GA800M,10Y1001A1001A82H,412,GuD Ludwigshafen Mitte,Fossil Gas,2023-12-31 23:00:00+00:00,220
11WD7LUDW5GSUEDE,10Y1001A1001A82H,345,GuD Ludwigshafen Süd,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD7MITB1C----N,10Y1001A1001A82H,726,Bexbach,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD7NEUR-B-KW-B,10Y1001A1001A82H,3608,Neurath,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,380
11WD7NIED-B-KW-5,10Y1001A1001A82H,2797,Niederaußem,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,380
11WD7NORF5G--KWG,10Y1001A1001A82H,845,Kraftwerk Lausward,Fossil Gas,2023-12-31 23:00:00+00:00,110
